                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1425,                 2.5588,                 1.2541,                0.99757,                      1,                  0.995,                0.63879,                0.99734,                 1.7283,                 1.3278,             0.00055126,             0.00055126,             0.00055126
                      2,                 1.0418,                  1.729,                 1.1496,                      1,                0.99986,                  0.995,                 0.8955,                0.64757,                 1.9392,                0.88745,              0.0010756,              0.0010756,              0.0010756
                      3,                 1.0432,                 1.4189,                 1.1717,                      1,                0.89035,                  0.995,                 0.7556,                0.84143,                 1.2099,                 1.1911,              0.0015685,              0.0015685,              0.0015685
                      4,                 1.0149,                 1.2094,                 1.1499,                0.74216,                0.96866,                 0.9125,                0.55712,                 1.2173,                 1.6067,                 1.4247,              0.0015255,              0.0015255,              0.0015255
                      5,                0.93974,                  1.068,                  1.117,                0.98097,                      1,                  0.995,                0.67549,                0.75122,                0.86146,                 1.1938,              0.0014784,              0.0014784,              0.0014784
                      6,                0.90128,                0.99138,                 1.1067,                0.98347,                      1,                  0.995,                0.76525,                 1.1332,                0.63202,                 1.1082,              0.0014312,              0.0014312,              0.0014312
                      7,                0.88577,                0.94418,                  1.092,                      1,                0.98292,                  0.995,                0.83209,                 0.6211,                 1.1126,                0.96145,              0.0013841,              0.0013841,              0.0013841
                      8,                0.87329,                0.90155,                 1.0859,                0.98953,                      1,                  0.995,                0.85331,                0.70296,                0.57947,                 1.0152,              0.0013369,              0.0013369,              0.0013369
                      9,                   0.85,                   0.86,                 1.0788,                0.98465,                      1,                  0.995,                0.93512,                0.51028,                0.38446,                0.92987,              0.0012898,              0.0012898,              0.0012898
                     10,                0.80683,                0.82256,                  1.061,                0.98573,                      1,                  0.995,                0.83566,                0.87549,                0.49185,                 1.2111,              0.0012426,              0.0012426,              0.0012426
                     11,                 0.8025,                0.79435,                 1.0533,                0.98402,                      1,                  0.995,                0.60489,                0.91618,                0.57409,                 1.3593,              0.0011955,              0.0011955,              0.0011955
                     12,                0.78825,                0.79737,                 1.0496,                0.98592,                      1,                  0.995,                0.86265,                0.64104,                 0.4137,                 1.0689,              0.0011483,              0.0011483,              0.0011483
                     13,                0.76017,                 0.7365,                 1.0295,                0.99049,                      1,                  0.995,                0.86186,                 0.5889,                0.52047,                 1.0435,              0.0011012,              0.0011012,              0.0011012
                     14,                0.75768,                0.73338,                  1.033,                0.99097,                      1,                  0.995,                0.82233,                0.67351,                0.59364,                 1.0328,               0.001054,               0.001054,               0.001054
                     15,                 0.7294,                0.70545,                 1.0184,                      1,                  0.993,                  0.995,                 0.8914,                0.48969,                0.70053,                 1.0003,              0.0010069,              0.0010069,              0.0010069
                     16,                0.72174,                0.66525,                 1.0089,                0.98923,                      1,                  0.995,                0.86012,                 0.7585,                0.46129,                 1.0743,             0.00095972,             0.00095972,             0.00095972
                     17,                0.72071,                 0.6591,                 1.0174,                0.98614,                      1,                  0.995,                0.84557,                0.69352,                0.34782,                 1.0556,             0.00091256,             0.00091256,             0.00091256
                     18,                0.70343,                0.64092,                 1.0016,                0.98582,                      1,                  0.995,                0.86264,                0.56871,                0.33128,                 1.0097,             0.00086541,             0.00086541,             0.00086541
                     19,                0.68177,                0.61007,                0.99169,                0.98643,                      1,                  0.995,                0.84937,                0.57519,                0.32798,                 1.0813,             0.00081826,             0.00081826,             0.00081826
                     20,                0.68393,                0.59067,                0.99313,                0.98628,                      1,                  0.995,                0.87045,                0.61824,                0.29845,                 1.0997,             0.00077111,             0.00077111,             0.00077111
                     21,                0.65773,                 0.5939,                0.98509,                  0.986,                      1,                  0.995,                0.75258,                 0.6785,                0.37621,                 1.1608,             0.00072395,             0.00072395,             0.00072395
                     22,                0.65355,                 0.5941,                0.98692,                      1,                      1,                  0.995,                0.91828,                0.61565,                0.26755,                 1.0899,              0.0006768,              0.0006768,              0.0006768
                     23,                0.66028,                0.56048,                0.98418,                0.98575,                      1,                  0.995,                0.91312,                 0.5136,                0.24951,                 1.1526,             0.00062965,             0.00062965,             0.00062965
                     24,                0.63182,                0.54489,                0.97176,                      1,                      1,                  0.995,                0.87936,                0.51672,                0.28698,                 1.0639,              0.0005825,              0.0005825,              0.0005825
                     25,                0.61875,                0.51538,                0.96551,                      1,                      1,                  0.995,                0.91828,                0.53227,                0.26878,                  1.068,             0.00053535,             0.00053535,             0.00053535
                     26,                0.53197,                0.42436,                0.90842,                0.98661,                      1,                  0.995,                0.95581,                0.37712,                0.24501,                 0.9058,             0.00048819,             0.00048819,             0.00048819
                     27,                0.52606,                0.40444,                0.90557,                0.98605,                      1,                  0.995,                0.95359,                 0.4491,                 0.2479,                0.93646,             0.00044104,             0.00044104,             0.00044104
                     28,                0.51239,                0.38506,                0.89743,                      1,                      1,                  0.995,                0.90728,                0.45442,                0.22773,                0.99601,             0.00039389,             0.00039389,             0.00039389
                     29,                0.49703,                0.36763,                0.88716,                0.98618,                      1,                  0.995,                 0.9015,                0.49374,                 0.2626,                 1.0256,             0.00034674,             0.00034674,             0.00034674
                     30,                0.48468,                0.34539,                0.88938,                0.98644,                      1,                  0.995,                0.92054,                0.44893,                0.25028,                 0.9367,             0.00029958,             0.00029958,             0.00029958
                     31,                0.47411,                0.34014,                 0.8824,                0.98657,                      1,                  0.995,                0.89596,                0.55318,                0.23887,                  0.953,             0.00025243,             0.00025243,             0.00025243
                     32,                0.46113,                0.32857,                0.87221,                0.98632,                      1,                  0.995,                0.91496,                0.41797,                0.19417,                0.93362,             0.00020528,             0.00020528,             0.00020528
                     33,                0.45597,                0.32446,                0.87215,                0.98648,                      1,                  0.995,                0.94825,                0.31706,                0.20378,                0.85714,             0.00015813,             0.00015813,             0.00015813
                     34,                0.44424,                0.31462,                0.86966,                0.98674,                      1,                  0.995,                0.92054,                0.41179,                0.20525,                0.90034,             0.00011097,             0.00011097,             0.00011097
                     35,                0.43398,                0.29402,                0.86557,                0.98628,                      1,                  0.995,                0.92054,                0.37567,                0.20798,                0.87226,             6.3822e-05,             6.3822e-05,             6.3822e-05
